image name,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,accessionNumber,plantDescription
C2047118F.jpg,Åke Hovgard,Å. Hovgard,N/A,s.n.,6/5 1937,1937-05-06,N/A,Cratoneuron filicinum (L) Loeske st. v. elatum Schimp,Cratoneuron filicinum,N/A,N/A,N/A,Sweden,Scania,N/A,Baskemölla,Baskemölla,[precise locality unknown],N/A,N/A,N/A,C2047118F,Typed,no type status,N/A,N/A
C2037874F.jpg,J Krupa,J. Krupa,N/A,s.n.,June 1876,1876-06-00,N/A,Cratoneuron filicinum (Hedw.) Spruce,Cratoneuron filicinum,N/A,N/A,N/A,Poland,N/A,Kraków-Częstochowa,N/A,Upland: Czerna 15 km west of Kraków,Czerna 15 kilometers west of Kraków,on wet calcareous rocks,N/A,N/A,1039315,Typed,no type status,1071170,N/A
C2026385F.jpg,N/A,C. Fitzgerald,N/A,6-78,N/A,N/A,N/A,Pottia latifolia C müll,Pottia latifolia,unsure and check,N/A,N/A,N/A,N/A,N/A,N/A,Ad worem humsan Pie du Midi,[precise locality unknown],N/A,2800 an,N/A,C2026385F,Handwritten,no type status,N/A,N/A
C2047133F.jpg,I H,I. H Hagen,N/A,s.n.,1903,1903-00-00,N/A,Cratoneurum Pilicinum (L) Roth v. curvicaule (Jur.) Monk. Musci Norvegici ex herb. I Hagen Amblyptegiem curvicaule (pur.),Cratoneurum pilicinum,unsure and check,N/A,Amblyptegiem curvicaule,Norway,Trondhjems,Opdal,N/A,"Sendre Trondhjems amt, Opdal Kongprold",Kongprold,N/A,altit. mtr. ca. 90020/7,N/A,C2047133F,Mix of Handwritten and Typed,no type status,N/A,N/A
C2078136F.jpg,Paul C Standley,P. C. Standley,N/A,10896,"July 5, 1947",1947-07-05,N/A,Wittensthauumim diuiniturn (Hpe.) E.G. Britt + sterile Eulodon,Wittensthauumim diuiniturn,E. B. Bartram,N/A,Eulodon,Nicaragua,Jinotega,N/A,N/A,"Dept Jinotega: Vicinity of Finca San Roque, sierra east of Jinotega","Vicinity of Finca San Roque, sierra east of Jinotega",chiefly in dense wet mixed forest,1300-1500 m.,N/A,C2078136F,Mix of Handwritten and Typed,no type status,N/A,On tree trunk
C2046783F.jpg,ly la Ferrandin,N/A,N/A,28/3157,N/A,0000-00-00,N/A,Fontinalis antipyretica,Fontinalis antipyretica,N/A,N/A,N/A,France,Vendee,N/A,Mortagne,Revière de Serres,Revière de Serres,N/A,N/A,N/A,1039028,Handwritten,no type status,N/A,N/A
V0469088F.jpg,Djaja D Soejarto & T E Lockwood,D. D. Soejarto,T. E. Lockwood,24663,"March 30, 1970",1970-03-30,N/A,Piper cf variegatum HBK,Piper variegatum,unsure and check,N/A,N/A,Colombia,Vaupés,N/A,Mitu,"vicinity of Mitu, tropical rain forest cut, alt 200 m",vicinity of Mitu,tropical rain forest cut,alt 200 m,N/A,1821019,Typed,no type status,N/A,"Treelet, 3 m tall, inflorescences white to green, plant odorous"
V0558575F.jpg,Felix Woytkowski,F. Woytkowski,D. Tuesta Diaz | J. Woytkowski,438,"August 26, 1946",1946-08-26,N/A,Peperomia serpens,Peperomia serpens,N/A,26 AGO 1946,N/A,Peru,Loreto,N/A,N/A,Aguaitia,[precise locality unknown],upon rocks and old tree trunks,180 m. Ht. of Pl. 0.35 m.,N/A,1307659,Mix of Handwritten and Typed,no type status,N/A,Flower green Leaves soft flashy
C2036209F.jpg,R Ochyra,R. Ochyra,N/A,1578/80,11/II/1980,1980-02-11,N/A,Tortula fuscoviridis Card,Tortula fuscoviridis,R. Ochyra,N/A,N/A,Antarctica,South Shetland Islands,King George Island,N/A,"Admiralty Bay, Esourra Inlet, Dufavel Island: SOPOT PEAK, 62°09 45 S, 58°33 45 W",SOPOT PEAK,"on soil over rock ledges, in dry situation",elev 4 m,"62°09 45 S, 58°33 45 W",1053922,Typed,no type status,N/A,N/A
V0574012F.jpg,Antonio Molina R Albertina R Molina,A. Molina R.,A. R. Molina,25236,"Dec 8, 1969",1969-12-08,N/A,Commeline volosta Kunth phaeosphaerion persicariaefolium (DC) Clarke Commelina erecta L,Commelina erecta,N/A,N/A,Phaeosphaerion persicariaefolium,Guatemala,Chiquimula,N/A,Esquipulas,Occasional on dry slopes Pine-oak forest of Quebrada Obscura vicinity of Esquipulas village,[precise locality unknown],Occasional on dry slopes Pine-oak forest of Quebrada Obscura vicinity of Esquipulas village,900 m,N/A,1695826,Typed,no type status,N/A,N/A
C0079440F_lg.jpg,N/A,N/A,N/A,s.n.,s.d.,0000-00-00,N/A,Pieranum heteromallum vad. Itt,Pieranum heteromallum,N/A,N/A,N/A,United States,Indiana,Chester,N/A,"cambria, Indiana, Chester to helad",cambria [precise locality unknown],N/A,N/A,N/A,C0079440F,Handwritten,no type status,N/A,N/A
C2051895F.jpg,Herbier Ed Jeanpert,E. Jeanpert,N/A,s.n.,4/192,1902-04-00,N/A,Crossidium squamigerum (Un),Crossidium squamigerum,W. C. Steere,N/A,Barbula membranifolia,N/A,N/A,N/A,N/A,Crusherette de Viroinberg,Crusherette de Viroinberg,Dans pierre schiste,N/A,N/A,973420,Mix of Handwritten and Typed,no type status,N/A,N/A
V0613170F.JPG,Marko Lewis & Robin Clark,M. Lewis,R. Clark,37731,22 September 1990,1990-09-22,N/A,Stachytarpheta pohliana vel sp nov Cham Stachytarpheta canescens Humb Bonpl & Kunth,Stachytarpheta pohliana,R. Liesner,2009,Stachytarpheta canescens,Bolivia,Santa Cruz,Ichilo Province,N/A,"""Cerro Amboró"" - During this trip I climbed up the Río Isama to the summit of Cerro Amboró in Parque Nacional de Amboró As the trail is not established and winds over ridges and dense forest I have little idea of the exact locality Nevertheless today I collected between the camp used to reach the summit and the edge of the grasslands about 3 km E of the summit 60 km W of Santa Cruz A number of habitats collected Loma forest at Woodland tangled with bamboo tangled Clusia woodland Ericaceous-Clusia scrub upper riverine woodlands",Cerro Amboró in Parque Nacional de Amboró about 3 km E of the summit 60 km W of Santa Cruz,As the trail is not established and winds over ridges and dense forest A number of habitats collected Loma forest Woodland tangled with bamboo tangled Clusia woodland Ericaceous-Clusia scrub upper riverine woodlands,900-1150 m 900-950 m 950-1050 m 1050-1200 m 1150-1200 m 1150 m 900-1200 m,17°50'S 63°48′W,2304360,Typed,no type status,N/A,2 m high thin shrub along riverbed Flowers deep purple
V0571031F.JPG,Leg't DEBEAUX,D. DEBEAUX,N/A,s.n.,To mai 1880,1880-05-01,N/A,Frankenia corymbosa Dufp,Frankenia corymbosa,N/A,N/A,N/A,Algeria,N/A,N/A,Arzew,a l'embouchure de l'oved,at the mouth of the oved,N/A,N/A,N/A,835959|835958,Handwritten,no type status,N/A,N/A
V0613172F.JPG,George R Proctor,G. R. Proctor,N/A,No 35707,"April 14, 1976",1976-04-14,N/A,Ilex quianensis (Aubl) Ktze,Ilex quianensis,M. J. M. Christenhusz,2014,N/A,Belize,Stann Creek,N/A,N/A,Near junction of All Pines road & Southern Highway,Near junction of All Pines road & Southern Highway,Thickets in scrubby pine savanna,C. 45 ft.,N/A,1782286,Typed,no type status,N/A,Shrub 3 m tall; flowers white
V0613173F.JPG,leg E L Ekman,E. L. Ekman,N/A,s.n.,22 I 1929,1929-01-22,N/A,Ilex Berteroi Loes,Ilex berteroi,G. (G) Barriera,2021,N/A,Dominican Republic,Santo Domingo,Hana Castera,N/A,"pror Sto Do maiga, & l. Maviedute, day Sillaide",[precise locality unknown],N/A,N/A,N/A,1480853,Mix of Handwritten and Typed,no type status,N/A,slack small or even medium sized tree; fl white tetrame female
V0613174F.JPG,N/A,N/A,N/A,455,2 29 Maj 1893,1893-05-29,N/A,"Frankenia hissida DC. Fr hirsuta Lin, Flor Graec tab 343!",Frankenia hirsuta,unsure and check,N/A,N/A,Greece,N/A,N/A,Phalerum,In arenosis maritimes sukhumidir ad Phalerum frez,In arenosis maritimes sukhumidir ad Phalerum,N/A,N/A,N/A,842306,Handwritten,no type status,N/A,N/A
V0613176F.jpg,"D D Soejarto, S Bouamanivong, M Sensanang, S Vorasing",D. D. Soejarto,S. Bouamanivong | M. Sensanang | S. Vorasing,11377,"April 22, 2000",2000-04-22,N/A,Lagerstroemia ovalifolia Teijsm & Binn,Lagerstroemia ovalifolia,T. N. Ninh,"August 08, 2000",Liquidambar | Camellia | Lagerstroemia,Laos,Bolikhamsay Province,Khamkeut District,Ban Namphao,ca 5 km east of town proper,5 kilometers east of town proper,"Tropical rain forest; a mosaic of cleared lands, previously logged forest with an open canopy, and little disturbed closed canopy forest, with Liquidambar, Camellia, and Lagerstroemia association",ca 500m,18°10′N 05°00'E,0GHA1731-T | 0GHA1732-U | GHA1733-V,Typed,no type status,2224146,"Tree 7m tall, dbh 10cm, bark gray, slash dull purplish white, wood pale brown, flowers deep pink to violet, stamens deep yellow, filaments pink-red, fruits dull reddish brown"
V0613171F.JPG,"О Л Ловелиус, А П Мишенкова, Ю Л Меницкий, Н Г Челинцев, В Н Сипливинский",O. L. Lovelius,A. P. Mishenkova | Yu. L. Menitskii | N. G. Chelintsev | V. N. Siplivinskii,s.n.,13-14 июня 1968 г,1968-06-13,1968-06-14,Turgenia latifolia (L.) Hoffm,Turgenia latifolia,V. Tikhomirov,N/A,N/A,Russia,Kalmykia,N/A,N/A,оз Барманцак Степные склоны Западный берег озера,Barmanacak lake Steppe slopes Western shore of the lake,Shrubs,N/A,N/A,1779118,Mix of Handwritten and Typed,no type status,,
V0362457F.jpg,P Martinez A y C Bernal G,P. Martinez A.,C. Bernal G.,JB-IBUNAH,6 junio 1989,1989-06-06,N/A,Lonchocarpus parviflorus Benth incluyendo como sinonimo a: L obtinus Pittier,Lonchocarpus parviflorus,M. Sousa,Oct 1987,Lonchocarpus obtinus,Mexico,N/A,N/A,N/A,Zone littorale de la baie de Salinas,[precise locality unknown],Plantae costaricenses exsiccatæ,N/A,N/A,576895|2781|54555,Mix of Handwritten and Typed,Isotype,N/A,Plante contarienses exsiccatæ
